"","bam.SRR_76_ngm_sorted.bam"
"AAC66077-1",601
"AAC66078-1",57
"AAC66063-1",21
"AAC66079-1",15
"AAC66064-1",16
"AAC66065-1",44
"AAC66066-1",43
"AAC66067-1",15
"AAC66068-1",54
"AAC66069-1",136
"AET25409-1",21
"AAC66070-1",61
"AAC66071-1",148
"AAC66072-1",154
"AAC66052-1",15
"AAC66080-1",17
"AAC66058-1",12
"AAC66081-1",13
"AAC66059-1",1053
"AAC66082-1",54
"AAC66060-1",79
"AAC66061-1",172
"AAC66062-1",2200
"AAC66083-1",484
"AAC65992-1",60
"AAC65986-1",53
"AAC65991-1",21
"AAC65998-1",1251
"AAC66000-1",146
"AET25416-1",111
"AET25417-1",9
"AAC65987-1",3900
"AAC66021-1",57
"AAC66012-1",77
"AAC66011-1",1063
"AAC65993-1",168
"AAC65994-1",332
"AAC65995-1",161
"AAC65996-1",576
"AAC66014-1",96
"AAC66018-1",763
"AAC65988-1",22
"AAC65989-1",55
